node	degree
1	1
1553	1
1312	1
928	1
608	1
607	1
601	1
1116	1
1993	1
1559	1
1991	1
1844	1
1595	1
593	1
1003	1
590	1
588	1
643	1
582	1
1939	1
1575	1
1846	1
1867	1
653	1
652	1
649	1
1623	1
646	1
1715	1
909	1
642	1
640	1
1859	1
633	1
631	1
625	1
1700	1
624	1
622	1
618	1
1652	1
615	1
581	1
656	1
579	1
1917	1
538	1
535	1
534	1
531	1
1794	1
1602	1
1541	1
1373	1
539	1
1344	1
651	1
526	1
525	1
524	1
522	1
1418	1
1018	1
951	1
1167	1
933	1
1881	1
542	1
901	1
1985	1
573	1
591	1
1433	1
560	1
1869	1
1254	1
1965	1
554	1
1107	1
552	1
551	1
895	1
550	1
1690	1
549	1
546	1
543	1
1090	1
1429	1
1481	1
661	1
762	1
761	1
953	1
756	1
755	1
754	1
1298	1
1311	1
764	1
751	1
1188	1
1771	1
1087	1
1077	1
747	1
744	1
1464	1
994	1
1799	1
1932	1
767	1
976	1
1689	1
804	1
802	1
878	1
799	1
795	1
792	1
791	1
787	1
786	1
784	1
782	1
781	1
865	1
778	1
1936	1
775	1
771	1
1897	1
1382	1
1531	1
943	1
734	1
1008	1
1274	1
690	1
1426	1
682	1
678	1
677	1
1365	1
687	1
1261	1
2002	1
668	1
1503	1
1472	1
666	1
664	1
663	1
2005	1
2014	1
699	1
1434	1
1751	1
704	1
1004	1
732	1
1419	1
1256	1
1219	1
1070	1
727	1
725	1
1732	1
720	1
1233	1
719	1
1937	1
717	1
2004	1
715	1
1580	1
712	1
706	1
703	1
807	1
1041	1
517	1
1322	1
368	1
366	1
365	1
1267	1
572	1
1448	1
356	1
369	1
384	1
352	1
351	1
361	1
343	1
377	1
341	1
339	1
336	1
353	1
700	1
1149	1
1390	1
1468	1
395	1
828	1
1151	1
1388	1
390	1
1874	1
941	1
385	1
379	1
797	1
850	1
376	1
375	1
374	1
373	1
1934	1
1781	1
1638	1
335	1
1486	1
334	1
1349	1
1223	1
294	1
1286	1
293	1
292	1
1178	1
291	1
367	1
1665	1
1335	1
285	1
1354	1
282	1
709	1
280	1
277	1
276	1
1238	1
288	1
635	1
300	1
305	1
332	1
1730	1
1995	1
328	1
326	1
1241	1
324	1
323	1
322	1
321	1
320	1
527	1
317	1
316	1
314	1
313	1
1862	1
1320	1
307	1
333	1
1487	1
959	1
1981	1
495	1
493	1
491	1
1185	1
1108	1
811	1
489	1
1505	1
1132	1
626	1
1584	1
1009	1
1661	1
470	1
469	1
1123	1
468	1
695	1
481	1
497	1
1858	1
499	1
681	1
899	1
1864	1
1722	1
1706	1
1280	1
694	1
2010	1
1270	1
558	1
1957	1
507	1
506	1
1900	1
857	1
503	1
1427	1
502	1
500	1
915	1
1566	1
464	1
1243	1
428	1
426	1
423	1
421	1
1920	1
1222	1
1717	1
1532	1
1277	1
416	1
1696	1
413	1
412	1
409	1
408	1
406	1
405	1
1231	1
402	1
431	1
518	1
432	1
1197	1
1454	1
1402	1
1378	1
565	1
459	1
456	1
1368	1
1134	1
454	1
453	1
452	1
447	1
443	1
442	1
440	1
439	1
930	1
783	1
1484	1
433	1
274	1
809	1
1139	1
1350	1
1341	1
1340	1
1824	1
1336	1
1822	1
1416	1
1697	1
1351	1
1332	1
1615	1
1619	1
1328	1
1327	1
1326	1
1476	1
1456	1
1743	1
1331	1
1353	1
1860	1
1670	1
1444	1
1636	1
1539	1
1492	1
1408	1
1896	1
1395	1
1838	1
1757	1
1387	1
1455	1
1527	1
1372	1
1837	1
1371	1
1363	1
1361	1
1716	1
1358	1
1319	1
1404	1
1313	1
1482	1
1211	1
1210	1
1908	1
1207	1
1634	1
1642	1
1598	1
1551	1
1212	1
1538	1
1200	1
1945	1
1956	1
1193	1
1955	1
1310	1
1187	1
1903	1
1526	1
1214	1
1557	1
1229	1
1301	1
1300	1
1294	1
1314	1
1523	1
1272	1
1265	1
1260	1
1469	1
1257	1
1250	1
1248	1
1284	1
1578	1
1240	1
1425	1
1237	1
1236	1
1230	1
1970	1
1409	1
1851	1
1643	1
1733	1
1891	1
1707	1
1704	1
1842	1
1693	1
1688	1
1680	1
1734	1
1675	1
1664	1
1924	1
1658	1
1947	1
1790	1
1988	1
1719	1
1607	1
1731	1
1852	1
1746	1
1761	1
1971	1
1921	1
2003	1
1960	1
1935	1
1916	1
1968	1
1871	1
1850	1
1998	1
1832	1
1978	1
1791	1
1772	1
1980	1
1839	1
1840	1
1770	1
1803	1
1849	1
1938	1
1632	1
1725	1
1508	1
1736	1
1662	1
1836	1
1783	1
1485	1
1626	1
1509	1
1451	1
1779	1
1450	1
1445	1
1882	1
1811	1
1749	1
1723	1
1542	1
1436	1
1417	1
1513	1
1768	1
1515	1
1899	1
1594	1
1685	1
1588	1
1999	1
1579	1
1868	1
1576	1
1996	1
1656	1
1975	1
1563	1
1562	1
1561	1
1550	1
1709	1
1546	1
1544	1
1533	1
1529	1
1517	1
810	1
1183	1
1617	1
934	1
1091	1
991	1
1815	1
1296	1
1086	1
1078	1
1047	1
1137	1
1647	1
916	1
1106	1
911	1
910	1
907	1
1105	1
903	1
1875	1
957	1
1414	1
1413	1
940	1
1453	1
1140	1
964	1
1928	1
1202	1
1075	1
1969	1
961	1
960	1
1535	1
958	1
955	1
954	1
949	1
1880	1
1571	1
947	1
1475	1
1259	1
898	1
968	1
897	1
893	1
1252	1
1537	1
851	1
847	1
1774	1
844	1
1573	1
841	1
1581	1
1713	1
834	1
833	1
831	1
1687	1
825	1
824	1
1635	1
967	1
836	1
1002	1
858	1
861	1
888	1
887	1
886	1
885	1
884	1
883	1
882	1
1032	1
880	1
879	1
875	1
874	1
1281	1
1817	1
1682	1
1681	1
868	1
867	1
1943	1
1909	1
970	1
1153	1
972	1
1182	1
1124	1
1122	1
1253	1
1825	1
1307	1
1926	1
1111	1
1189	1
1491	1
1109	1
1101	1
1098	1
1442	1
1092	1
1136	1
1085	1
1536	1
1110	1
1285	1
1309	1
1398	1
1810	1
1172	1
1169	1
1168	1
1164	1
1976	1
1232	1
1823	1
1157	1
1155	1
1147	1
1144	1
1143	1
1142	1
1138	1
1129	1
1128	1
1127	1
1843	1
1672	1
1071	1
1458	1
1346	1
1437	1
1118	1
1093	1
1330	1
1010	1
1007	1
1005	1
1000	1
1302	1
1367	1
990	1
984	1
982	1
1209	1
981	1
978	1
977	1
1399	1
974	1
1644	1
1174	1
1845	1
1467	1
1067	1
1066	1
1065	1
1061	1
1597	1
1060	1
1863	1
1865	1
1052	1
1044	1
1396	1
1039	1
1036	1
1042	1
1030	1
1028	1
1026	1
1710	1
1586	1
1019	1
273	1
1308	1
609	1
83	1
1534	1
838	1
427	1
85	1
658	1
248	1
247	1
159	1
219	1
246	1
789	1
1046	1
245	1
1511	1
157	1
306	1
1048	1
1165	1
151	1
153	1
1752	1
239	1
81	1
154	1
1756	1
839	1
242	1
243	1
155	1
244	1
240	1
92	1
80	1
476	1
258	1
166	1
257	1
256	1
62	1
486	1
864	1
1648	1
1073	1
563	1
66	1
404	1
67	1
69	1
70	1
1074	1
599	1
1905	1
251	1
79	1
969	1
826	1
1288	1
1983	1
77	1
253	1
1654	1
477	1
73	1
133	1
214	1
216	1
673	1
354	1
95	1
114	1
227	1
116	1
143	1
117	1
118	1
1931	1
120	1
286	1
142	1
139	1
1923	1
1942	1
1879	1
1633	1
1279	1
127	1
757	1
790	1
816	1
1953	1
564	1
1072	1
1729	1
422	1
800	1
1043	1
129	1
1063	1
1493	1
1520	1
136	1
144	1
702	1
226	1
105	1
1555	1
1461	1
103	1
102	1
101	1
1001	1
99	1
148	1
492	1
822	1
987	1
606	1
501	1
147	1
61	1
1218	1
894	1
471	1
225	1
380	1
801	1
396	1
234	1
107	1
224	1
119	1
1565	1
1599	1
1712	1
393	1
241	1
1831	1
821	1
162	1
60	1
770	1
1380	1
28	1
182	1
27	1
835	1
623	1
123	1
25	1
198	1
24	1
813	1
1518	1
530	1
199	1
570	1
200	1
1499	1
577	1
34	1
1191	1
265	1
266	1
204	1
279	1
202	1
1352	1
449	1
1775	1
529	1
179	1
533	1
201	1
420	1
35	1
21	1
184	1
63	1
268	1
9	1
1950	1
269	1
189	1
11	1
270	1
6	1
5	1
4	1
3	1
2	1
191	1
94	1
1973	1
12	1
13	1
185	1
298	1
195	1
18	1
999	1
1069	1
17	1
1247	1
1360	1
1625	1
1703	1
1133	1
1547	1
1621	1
1763	1
944	1
1166	1
134	1
48	1
1786	1
206	1
171	1
1611	1
50	1
53	1
1667	1
45	1
