#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0140	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0141	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0142	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0143	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0145	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0146	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0147	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0148	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0149	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0150	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0151	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0152	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0153	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0154	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0155	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0156	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0159	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0167	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0196	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0197	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0200	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0201	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0203	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0204	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0205	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0206	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0209	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0210	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0212	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0213	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0214	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0215	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0216	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0217	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0218	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0221	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0222	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0226	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0227	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0229	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0230	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0231	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0232	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0237	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0239	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0240	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0241	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0244	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0245	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0246	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0247	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0248	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0250	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0251	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0252	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0253	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0254	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0255	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0256	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0257	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0258	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0259	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0260	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0262	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0263	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0265	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0266	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0267	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0269	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0270	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0271	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0272	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0273	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0275	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0276	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0300	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0746	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0747	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0748	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0753	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0755	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0756	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0757	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0759	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0760	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0761	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0762	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0763	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0766	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0767	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0769	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0771	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0772	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0773	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0774	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0777	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0782	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0783	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0784	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0791	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0793	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0794	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0796	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0798	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0799	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0800	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0801	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0805	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0807	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0808	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0810	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0813	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0814	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0815	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0817	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0818	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0819	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0821	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0822	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0823	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0824	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0825	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0826	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0828	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0829	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0831	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0832	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0834	0.067	1.067	False
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0835	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0836	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0837	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0838	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0839	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0840	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0841	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0842	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0843	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0844	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0847	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0848	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0851	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0853	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0854	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0855	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0856	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0859	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0867	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0870	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0871	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0872	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0874	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0875	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0876	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0877	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0878	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0879	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0881	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0882	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0883	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0884	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0887	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0889	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0890	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0891	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0893	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0894	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0895	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0896	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_0897	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1176	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1177	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1180	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1182	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1185	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1188	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1189	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1190	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1191	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1192	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1193	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1195	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1197	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1209	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1214	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1215	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1216	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1217	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1218	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1219	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1220	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1221	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1222	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1224	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1225	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1228	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1229	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1230	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1232	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1233	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1234	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1235	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1236	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1237	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1238	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1239	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1240	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1242	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1243	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1244	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1245	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1249	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1251	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1252	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1253	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1254	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1255	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1256	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1257	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1258	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1259	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1260	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1261	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1262	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1263	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1264	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1265	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1266	0.0	1.0	True
Vibrio_coralliilyticus_ATCC_BAA-450_CDS_1267	0.0	1.0	True
