#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
Vibrio_coralliilyticus_ATCC_BAA-450	5123	4306	316	501	2668	2668	5146	4313	319	514	2672	2672	98.64	4285
Vibrio_coralliilyticus_P1	4953	4109	191	653	2668	2668	4978	4115	197	666	2673	2673	94.08	4087
Vibrio_coralliilyticus_OCN008	5500	3892	204	1404	2668	2668	5533	3908	215	1410	2672	2672	88.86	3860
Vibrio_coralliilyticus_OCN014	4903	4238	163	502	2668	2668	4928	4260	165	503	2672	2672	96.75	4203
Vibrio_coralliilyticus_RE98	5124	4332	346	446	2668	2668	5142	4342	350	450	2672	2672	98.83	4293
Vibrio_coralliilyticus_S2052	4939	4330	163	446	2668	2668	4956	4337	168	451	2673	2673	99.22	4310
Vibrio_coralliilyticus_S2043	4936	4331	163	442	2668	2668	4953	4338	168	447	2673	2673	99.24	4311
Vibrio_coralliilyticus_RE22A	5016	4298	373	345	2668	2668	5056	4325	382	349	2672	2672	98.04	4259
Vibrio_coralliilyticus_58	4861	4209	81	571	2668	2668	4906	4222	108	576	2673	2673	96.02	4171
Vibrio_coralliilyticus_SNUTY-1	5890	3736	151	2003	2668	2668	5977	3764	187	2026	2673	2673	85.13	3698
Vibrio_coralliilyticus_080116A	5091	4331	334	426	2668	2668	5135	4361	344	430	2672	2672	98.9	4296
Vibrio_coralliilyticus_RE87	4956	4266	362	328	2668	2668	4970	4273	368	329	2672	2672	97.33	4228
Vibrio_coralliilyticus_AIC-7	5322	4155	175	992	2668	2668	5340	4161	183	996	2671	2671	94.8	4118
Vibrio_coralliilyticus_NA0301	5132	4324	352	456	2668	2668	5212	4355	394	463	2672	2672	98.64	4285
Vibrio_coralliilyticus_RE22B	4796	4316	181	299	2668	2668	4854	4347	186	321	2677	2677	98.5	4279
