nb_genes,name,product,type,partition,subpartition,partition_exact,partition_soft,length_avg,length_med,nb_organisms,Vibrio_coralliilyticus_RE22A,Vibrio_coralliilyticus_ATCC_BAA-450,Vibrio_coralliilyticus_OCN008,Vibrio_coralliilyticus_SNUTY-1,Vibrio_coralliilyticus_RE22B,Vibrio_coralliilyticus_AIC-7,Vibrio_coralliilyticus_S2052,Vibrio_coralliilyticus_S2043,viz,label,Vibrio_coralliilyticus_OCN014,Vibrio_coralliilyticus_080116A,Vibrio_coralliilyticus_RE98,Vibrio_coralliilyticus_NA0301,Vibrio_coralliilyticus_58,Vibrio_coralliilyticus_RE87,Vibrio_coralliilyticus_P1,degree
8,,hypothetical protein,CDS,persistent,P,exact_accessory,soft_accessory,1625.0,1634,8,IJBHHNBA_00966,CPFIEJMN_01719,FKIKDOPA_03004,KFHGEANF_05197,MKACMLCG_04855,NMLJHHJO_00693,NFFLFIEF_02423,GIHCKAFH_03904,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 8.0}",IJBHHNBA_00966,,,,,,,,2
8,,hypothetical protein,CDS,shell,S1,exact_accessory,soft_accessory,1070.0,1070,8,IJBHHNBA_04692,,FKIKDOPA_05210,KFHGEANF_00539,MKACMLCG_02763,,,,"{'color': {'r': 0, 'g': 216, 'b': 96, 'a': 0.0}, 'size': 8.0}",IJBHHNBA_04692,AADFBFMN_02778,PFGAHHNN_03858,HCPBJEEI_02894,PNJLNNEM_04355,,,,7
3,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,464.0,464,3,IJBHHNBA_04693,,,KFHGEANF_00540,MKACMLCG_02762,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 3.0}",IJBHHNBA_04693,,,,,,,,2
3,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1031.0,1031,3,IJBHHNBA_04694,,,KFHGEANF_00541,MKACMLCG_02761,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 3.0}",IJBHHNBA_04694,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,431.0,431,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00755,,,,,FLLLBHKB_00755,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1271.0,1271,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00756,,,,,FLLLBHKB_00756,,,2
14,tamA,Translocation and assembly module subunit TamA,CDS,persistent,P,exact_accessory,soft_accessory,1664.64,1640,14,IJBHHNBA_03507,CPFIEJMN_04567,FKIKDOPA_01655,,MKACMLCG_02080,NMLJHHJO_02369,NFFLFIEF_01819,GIHCKAFH_02708,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 14.0}",FLLLBHKB_02188,AADFBFMN_00115,PFGAHHNN_02219,HCPBJEEI_02752,PNJLNNEM_01325,FLLLBHKB_02188,ACOGLMFH_01875,AHGDBNMD_01107,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,1619.2,1637,15,IJBHHNBA_03484,CPFIEJMN_04544,FKIKDOPA_01679,KFHGEANF_03510,MKACMLCG_02057,NMLJHHJO_02392,NFFLFIEF_01796,GIHCKAFH_02685,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",FLLLBHKB_02211,AADFBFMN_00141,PFGAHHNN_02242,HCPBJEEI_02729,PNJLNNEM_01302,FLLLBHKB_02211,ACOGLMFH_01899,AHGDBNMD_01130,3
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,791.0,791,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_04564,,,,,FLLLBHKB_04564,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,668.0,668,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_04565,,,,,FLLLBHKB_04565,,,2
